timestamp,hostname,cpu_percent,mem_total_gb,mem_dispo_gb,mem_percent,disk_root_percent
2025-11-19 15:23:54,nadonx,6.5,15.73,5.67,64.0,90.4
2025-11-19 15:25:04,nadonx,6.0,15.73,5.61,64.3,90.4
2025-11-19 15:25:35,nadonx,13.2,15.73,5.67,64.0,90.4
